Open,High,Low,Close,Volume,Dividends,Stock Splits
612.0,612.5850219726562,601.2000122070312,602.3499755859375,427363,0.0,0.0
602.25,604.7899780273438,599.52001953125,603.260009765625,325350,0.0,0.0
603.4299926757812,603.9299926757812,600.3400268554688,602.5247192382812,242391,0.0,0.0
602.4299926757812,605.719970703125,602.4299926757812,603.6599731445312,178666,0.0,0.0
603.8200073242188,605.8699951171875,602.7200927734375,605.489013671875,158099,0.0,0.0
605.272216796875,606.9000244140625,604.3599853515625,605.0999755859375,194300,0.0,0.0
604.75,607.0599975585938,603.6900024414062,604.5599975585938,414915,0.0,0.0
595.7042236328125,602.2899780273438,592.0800170898438,594.75,653504,0.0,0.0
594.8200073242188,595.1900024414062,588.780029296875,589.8184814453125,485499,0.0,0.0
589.9149780273438,591.47998046875,588.1300048828125,590.9400024414062,223853,0.0,0.0
590.8599853515625,592.4600219726562,590.1199951171875,590.8800048828125,170146,0.0,0.0
590.8200073242188,594.5700073242188,588.219970703125,594.010009765625,228099,0.0,0.0
594.02001953125,597.1199951171875,593.469970703125,596.989990234375,270543,0.0,0.0
596.8499755859375,598.3200073242188,595.14501953125,598.2899780273438,371741,0.0,0.0
598.1799926757812,599.0599975585938,589.8599853515625,590.9299926757812,346949,0.0,0.0
590.8699951171875,592.2100219726562,585.5800170898438,586.5700073242188,343363,0.0,0.0
586.3300170898438,587.1500244140625,584.510009765625,586.77001953125,268085,0.0,0.0
586.8300170898438,592.5499877929688,586.8300170898438,592.5499877929688,223326,0.0,0.0
592.4000244140625,598.1799926757812,590.0,592.510009765625,380569,0.0,0.0
592.4650268554688,602.6699829101562,591.239990234375,601.7999877929688,367370,0.0,0.0
602.1019897460938,605.6900024414062,601.3200073242188,605.0499877929688,536173,0.0,0.0
593.0,602.52001953125,590.4149780273438,596.3099975585938,782910,0.0,0.0
596.3250122070312,602.830810546875,594.72998046875,596.8900146484375,399929,0.0,0.0
596.510009765625,597.739990234375,593.8300170898438,595.2100219726562,251712,0.0,0.0
594.841796875,596.0399780273438,592.1099853515625,593.2999877929688,228870,0.0,0.0
593.3300170898438,594.489990234375,588.97998046875,590.3599853515625,257604,0.0,0.0
590.4232788085938,592.5225219726562,588.0,590.1699829101562,410056,0.0,0.0
590.22998046875,592.3499755859375,589.685302734375,590.760009765625,415818,0.0,0.0
591.6099853515625,593.25,581.739990234375,585.0999755859375,927314,0.0,0.0
584.8400268554688,591.9600219726562,583.6400146484375,591.0999755859375,336523,0.0,0.0
591.239990234375,591.760009765625,585.6699829101562,588.8200073242188,438246,0.0,0.0
588.8599853515625,591.27001953125,586.9000244140625,588.4199829101562,253490,0.0,0.0
588.510009765625,592.3200073242188,586.630126953125,590.010009765625,210625,0.0,0.0
590.3599853515625,592.72998046875,588.6300048828125,589.3300170898438,306579,0.0,0.0
589.1799926757812,589.5349731445312,585.8599853515625,585.8599853515625,678911,0.0,0.0
586.125,602.8847045898438,584.260009765625,599.510009765625,944639,0.0,0.0
599.4600219726562,601.4400024414062,592.8253173828125,593.3049926757812,520255,0.0,0.0
593.52001953125,594.11181640625,588.8099975585938,589.9420166015625,299412,0.0,0.0
589.7999877929688,590.8878173828125,587.5076904296875,589.4099731445312,237544,0.0,0.0
589.3753051757812,594.0,588.8900146484375,592.0399780273438,250043,0.0,0.0
592.114990234375,596.1212158203125,591.5800170898438,594.22998046875,287868,0.0,0.0
594.2999877929688,594.4580078125,591.3670043945312,593.9600219726562,405493,0.0,0.0
597.5433959960938,600.6892700195312,594.1900024414062,596.4224853515625,457837,0.0,0.0
596.2100219726562,601.0599975585938,593.861083984375,599.5250244140625,273016,0.0,0.0
599.530029296875,606.219970703125,599.1799926757812,604.8400268554688,246047,0.0,0.0
604.85498046875,606.1400146484375,603.1099853515625,605.77001953125,161609,0.0,0.0
605.9299926757812,607.8200073242188,603.8743896484375,604.6400146484375,200223,0.0,0.0
604.739990234375,605.0700073242188,601.2000122070312,601.7899780273438,240188,0.0,0.0
601.6500244140625,605.8499755859375,601.1246948242188,604.7000122070312,394647,0.0,0.0
603.3599853515625,610.5700073242188,602.6300048828125,608.9249877929688,442502,0.0,0.0
608.780029296875,614.2050170898438,608.7249755859375,613.8800048828125,335353,0.0,0.0
613.9199829101562,614.64990234375,610.3200073242188,611.5999755859375,257899,0.0,0.0
611.6849975585938,612.2899780273438,608.8200073242188,609.72998046875,169674,0.0,0.0
609.8900146484375,611.9199829101562,609.4486083984375,610.280029296875,167716,0.0,0.0
610.1950073242188,614.8200073242188,610.0800170898438,613.8972778320312,218552,0.0,0.0
613.969970703125,614.47998046875,612.4835205078125,614.47998046875,358690,0.0,0.0
616.4000244140625,616.6099853515625,607.5700073242188,613.010009765625,416513,0.0,0.0
613.0999755859375,613.6699829101562,610.9600219726562,612.8599853515625,234950,0.0,0.0
612.8699951171875,615.2249755859375,611.8400268554688,614.6799926757812,134022,0.0,0.0
614.9400024414062,616.8800048828125,614.3400268554688,616.0700073242188,135310,0.0,0.0
616.0549926757812,616.22998046875,613.97998046875,614.8300170898438,106460,0.0,0.0
614.8300170898438,615.8099975585938,613.739990234375,614.2100219726562,122941,0.0,0.0
614.3200073242188,616.239990234375,613.7088012695312,614.094970703125,248106,0.0,0.0
615.0,615.0,609.25,612.4450073242188,454855,0.0,0.0
612.5125122070312,614.8599853515625,611.39501953125,613.1099853515625,168716,0.0,0.0
612.8300170898438,613.0399780273438,610.8599853515625,611.5,169728,0.0,0.0
611.8099975585938,614.889892578125,611.25,614.6699829101562,133982,0.0,0.0
